lemma_de,article,part_of_speech,current_meaning_ja,candidate_meaning_ja,query,review_status,notes
ab,,unknown,離れて,離れて,ab,machine_candidate,Review before applying to seed
Abend,der,noun,夕方,夕方,Abend,machine_candidate,Review before applying to seed
abends,,unknown,夕方に,夕方に,abends,machine_candidate,Review before applying to seed
aber,,unknown,しかし,しかし,aber,machine_candidate,Review before applying to seed
abfahren,,verb,出発,出発,abfahren,machine_candidate,Review before applying to seed
Abfahrt,die,noun,出発,出発,Abfahrt,machine_candidate,Review before applying to seed
abholen,,verb,迎えに行く、受け取る,迎えに行く、受け取る,abholen,machine_candidate,Review before applying to seed
Abitur,das,noun,高校卒業資格,高校卒業資格,Abitur,machine_candidate,Review before applying to seed
abnehmen,,verb,体重を減らす,体重を減らす,abnehmen,machine_candidate,Review before applying to seed
Abschied,der,noun,別れ,別れ,Abschied,machine_candidate,Review before applying to seed
Absender,der,noun,送信者,送信者,Absender,machine_candidate,Review before applying to seed
Absicht,die,noun,意図,意図,Absicht,machine_candidate,Review before applying to seed
ach,,unknown,おお,おお,ach,machine_candidate,Review before applying to seed
Achtung,die,noun,危険,危険,Achtung,machine_candidate,Review before applying to seed
Adresse,die,noun,住所,住所,Adresse,machine_candidate,Review before applying to seed
Affe,der,noun,類人猿,類人猿,Affe,machine_candidate,Review before applying to seed
ähnlich,,adjective,似ている,似ている,ähnlich,machine_candidate,Review before applying to seed
Ahnung,die,noun,アイデア,アイデア,Ahnung,machine_candidate,Review before applying to seed
Alkohol,der,noun,アルコール,アルコール,Alkohol,machine_candidate,Review before applying to seed
Allee,die,noun,大通り,大通り,Allee,machine_candidate,Review before applying to seed
allein,,unknown,一人で,一人で,allein,machine_candidate,Review before applying to seed
allerdings,,unknown,しかし,しかし,allerdings,machine_candidate,Review before applying to seed
als,,unknown,として,として,als,machine_candidate,Review before applying to seed
also,,unknown,それで,それで,also,machine_candidate,Review before applying to seed
alt,,unknown,古い,古い,alt,machine_candidate,Review before applying to seed
Alte,die,noun,古いもの,古いもの,Alte,machine_candidate,Review before applying to seed
Alter,der,noun,古い,古い,Alter,machine_candidate,Review before applying to seed
